"COD","tot_IT","NOTackn_IT","acknlgd_IT"
"COD1600204",0,0,0
"COD1600212",0,0,0
"COD1600238",0,0,0
"COD1600253",0,0,0
"COD1600279",13.5804,0,13.5804
"COD1600303",0,0,0
"COD1600402",0.4869,0,0.4869
"COD1600501",23.2623,5e-04,23.2618
"COD1600535",0,0,0
"COD1600550",0,0,0
"COD1600600",0,0,0
"COD1600709",0,0,0
"COD1600808",0,0,0
"COD1701309",0,0,0
"COD1702109",0,0,0
"COD1702158",0,0,0
"COD1702208",0,0,0
"COD1702307",0,0,0
"COD1702554",0,0,0
"COD1703057",0,0,0
"COD1703206",0,0,0
"COD1703800",0,0,0
"COD1703891",0,0,0
"COD1707405",0,0,0
"COD1713957",0,0,0
"COD1716307",0,0,0
"COD1718303",0,0,0
"COD1718808",0,0,0
"COD1718865",2.0636,0,2.0636
"COD1720309",0,0,0
"COD1722107",0,0,0
"COD2100055",0,0,0
"COD2100204",0,0,0
"COD2100550",0,0,0
"COD2100873",14.2526,0,14.2526
"COD2101301",0,0,0
"COD2101350",0,0,0
"COD2101905",0,0,0
"COD2101970",0,0,0
"COD2102002",28.8267,0,28.8267
"COD2102408",0,0,0
"COD2102507",0,0,0
"COD2102606",0,0,0
"COD2102903",0,0,0
"COD2103109",0,0,0
"COD2103125",0,0,0
"COD2103158",30.8628,0,30.8628
"COD2103174",45.5799,0,45.5799
"COD2103257",0,0,0
"COD2103703",0,0,0
"COD2104305",0,0,0
"COD2104651",0,0,0
"COD2104677",0,0,0
"COD2104909",0,0,0
"COD2105427",0,0,0
"COD2105658",0,0,0
"COD2106201",0,0,0
"COD2106326",0,0,0
"COD2106375",3.593,0,3.593
"COD2106508",0,0,0
"COD2106805",0,0,0
"COD2106904",0.0257,0,0.0257
"COD2107357",57.2961,0,57.2961
"COD2107456",0,0,0
"COD2107605",0,0,0
"COD2108256",0,0,0
"COD2108306",0,0,0
"COD2108405",0,0,0
"COD2108603",0,0,0
"COD2109239",0,0,0
"COD2109270",0,0,0
"COD2109809",0,0,0
"COD2110039",0,0,0
"COD2110500",0,0,0
"COD2110856",0,0,0
"COD2111003",0,0,0
"COD2111029",28.7354,0,28.7354
"COD2111532",0,0,0
"COD2111706",0,0,0
"COD2111789",0,0,0
"COD2112407",0,0,0
"COD2112456",0,0,0
"COD2112803",0,0,0
"COD2112852",0,0,0
"COD2114007",22.1427,0,22.1427
"COD5100201",0.2104,0,0.2104
"COD5100250",0,0,0
"COD5100359",52.12,0,52.12
"COD5100805",71.0328,0,71.0328
"COD5101407",26.2227,0,26.2227
"COD5101852",1.9967,0,1.9967
"COD5101902",32.9951,0,32.9951
"COD5102603",47.2331,0,47.2331
"COD5102637",29.6849,0,29.6849
"COD5102686",2.9747,0,2.9747
"COD5102694",1.8928,0,1.8928
"COD5102702",21.3989,0,21.3989
"COD5102793",0,0,0
"COD5102850",0,0,0
"COD5103056",0,0,0
"COD5103205",0,0,0
"COD5103254",25.2543,0,25.2543
"COD5103304",63.4443,0,63.4443
"COD5103353",4.0102,0,4.0102
"COD5103361",46.8896,0,46.8896
"COD5103379",17.8497,0,17.8497
"COD5103502",0.4866,0,0.4866
"COD5103700",44.8246,0,44.8246
"COD5103858",48.9803,0,48.9803
"COD5104104",12.4712,0,12.4712
"COD5104526",0,0,0
"COD5104542",0,0,0
"COD5104559",0,0,0
"COD5105002",0,0,0
"COD5105101",11.8091,0,11.8091
"COD5105150",61.1167,0,61.1167
"COD5105176",0,0,0
"COD5105259",0,0,0
"COD5105507",1.5518,0,1.5518
"COD5105580",11.669,0,11.669
"COD5105606",20.5611,0,20.5611
"COD5105903",17.8137,0,17.8137
"COD5106000",4.2371,0,4.2371
"COD5106158",0,0,0
"COD5106182",16.3954,0,16.3954
"COD5106190",0,0,0
"COD5106208",0,0,0
"COD5106216",0.2281,0,0.2281
"COD5106224",0,0,0
"COD5106240",2.329,0,2.329
"COD5106265",0,0,0
"COD5106273",0,0,0
"COD5106299",0,0,0
"COD5106307",17.1189,0,17.1189
"COD5106315",0.0091,0,0.0091
"COD5106422",43.3331,0,43.3331
"COD5106455",0.8059,0,0.8059
"COD5106752",1.4688,0,1.4688
"COD5106778",20.1419,0,20.1419
"COD5106802",0,0,0
"COD5107040",1e-04,0,1e-04
"COD5107065",40.8818,0,40.8818
"COD5107180",29.6747,0,29.6747
"COD5107248",0,0,0
"COD5107305",0,0,0
"COD5107354",17.8284,0,17.8284
"COD5107578",48.5465,0,48.5465
"COD5107743",9.9087,0,9.9087
"COD5107768",3e-04,0,3e-04
"COD5107776",33.0521,0,33.0521
"COD5107792",20.3201,0,20.3201
"COD5107859",22.1376,0,22.1376
"COD5107875",35.3001,0,35.3001
"COD5107883",0.0282,0,0.0282
"COD5107909",0,0,0
"COD5107925",0,0,0
"COD5107941",13.2584,0,13.2584
"COD5107958",94.499,0,94.499
"COD5108006",0,0,0
"COD5108055",0,0,0
"COD5108303",3e-04,0,3e-04
"COD5108352",0.1045,0,0.1045
"COD5108501",0,0,0
"COD5108600",0,0,0
"COD5108808",0,0,0
"COD5108857",0.0715,0,0.0715
"COD5108907",1.1393,0,1.1393
"COD5108956",0,0,0
"EC010150",0,0,0
"EC010151",2.2484,0,2.2484
"EC010152",0,0,0
"EC010154",5.0741,5.0741,0
"EC010155",2.3992,2.3992,0
"EC010156",0,0,0
"EC010158",0,0,0
"EC010159",0,0,0
"EC010160",0,0,0
"EC010161",0,0,0
"EC010162",0,0,0
"EC010163",0.281,0,0.281
"EC010164",0,0,0
"EC010165",0.4737,0.4737,0
"EC010166",0,0,0
"EC010167",0,0,0
"EC010168",0,0,0
"EC010169",0,0,0
"EC010170",0,0,0
"EC010171",0,0,0
"EC010350",0,0,0
"EC010352",0,0,0
"EC010353",0,0,0
"EC010354",0,0,0
"EC010356",0,0,0
"EC010357",0,0,0
"EC010358",0,0,0
"EC010359",0,0,0
"EC010360",0,0,0
"EC010451",0,0,0
"EC010550",0,0,0
"EC010552",0,0,0
"EC010553",0,0,0
"EC010554",0,0,0
"EC010556",0,0,0
"EC010559",0,0,0
"EC010561",0,0,0
"EC010562",0,0,0
"EC010950",0,0,0
"EC010951",0,0,0
"EC010952",0,0,0
"EC010953",0,0,0
"EC010954",0,0,0
"EC010955",0,0,0
"EC010956",0,0,0
"EC011150",0,0,0
"EC011151",0,0,0
"EC011152",0,0,0
"EC011153",0,0,0
"EC011154",0,0,0
"EC011250",0,0,0
"EC011253",0,0,0
"EC011350",0,0,0
"EC011351",0,0,0
"EC011352",0,0,0
"EC011450",0,0,0
"EC030150",0,0,0
"EC030151",0,0,0
"EC030153",0,0,0
"EC030154",0,0,0
"EC030155",0,0,0
"EC030156",0,0,0
"EC030157",0,0,0
"EC030158",0,0,0
"EC030160",0,0,0
"EC030250",0,0,0
"EC030251",32.4496,32.4496,0
"EC030252",0,0,0
"EC030253",0,0,0
"EC030254",16.7831,16.7831,0
"EC030354",74.8487,74.8487,0
"EC030650",0,0,0
"EC030651",0,0,0
"EC040151",0,0,0
"EC050150",0,0,0
"EC050151",0,0,0
"EC050152",0,0,0
"EC050153",0,0,0
"EC050154",0,0,0
"EC050156",0,0,0
"EC050157",0,0,0
"EC050158",19.7273,19.7273,0
"EC050159",0,0,0
"EC050161",0,0,0
"EC050162",8.4238,8.4238,0
"EC050450",23.2345,23.2345,0
"EC050455",0,0,0
"EC050550",0,0,0
"EC050551",0,0,0
"EC050552",57.0656,57.0656,0
"EC050553",8.1881,8.1881,0
"EC050554",0,0,0
"EC050555",0,0,0
"EC050650",0,0,0
"EC050651",0,0,0
"EC050652",0,0,0
"EC050653",33.8428,33.8428,0
"EC060150",0,0,0
"EC060151",0,0,0
"EC060152",0.5191,0.5191,0
"EC060153",0,0,0
"EC060154",0,0,0
"EC060155",0,0,0
"EC060156",0,0,0
"EC060157",46.3337,46.3337,0
"EC060158",0,0,0
"EC060159",34.832,34.832,0
"EC060160",65.8566,65.8566,0
"EC060161",0,0,0
"EC060251",33.1967,32.8857,0.311
"EC060350",29.0435,29.0435,0
"EC060352",40.8473,40.8473,0
"EC060354",0,0,0
"EC060450",40.9448,40.9448,0
"EC060650",28.9348,28.9348,0
"EC060651",40.8946,40.8946,0
"EC060750",0,0,0
"EC060751",0,0,0
"EC060752",0,0,0
"EC060753",0,0,0
"EC060754",39.5203,39.5203,0
"EC060755",0,0,0
"EC060756",0,0,0
"EC060757",0,0,0
"EC060758",0,0,0
